"filename", "language", "Groovy", "Batch", "JavaScript", "Java Properties", "Java", "XML", "JSON", "Objective-C", "Markdown", "C++", "comment", "blank", "total"
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/.eslintrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/.prettierrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/.watchmanconfig", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/App.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 8, 13, 94
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 8, 13
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/__tests__/App-test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/build.gradle", "Groovy", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 23, 228
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/debug/java/com/linkingbook/ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 6, 73
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/main/java/com/linkingbook/MainActivity.java", "Java", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 4, 16
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/main/java/com/linkingbook/MainApplication.java", "Java", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 13, 9, 81
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/main/res/drawable/rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 23, 3, 37
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 3, 10
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/build.gradle", "Groovy", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 43
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/gradle.properties", "Java Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 19, 7, 29
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/gradlew.bat", "Batch", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 90
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/android/settings.gradle", "Groovy", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/asset/evil-Icons.svg", "XML", 0, 0, 0, 0, 0, 401, 0, 0, 0, 0, 1, 0, 402
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/AppText.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Bars&Header/Header.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 2, 10, 71
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Bars&Header/NavBar.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 14, 107
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Bars&Header/SearchBar.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 8, 53
